cluster,11,12,13,14,21,22,23,24,31,32,51
0,16,0,0,2,1,0,15,6,16,1,0
1,0,1,1,0,1,0,2,1,2,0,0
2,24,3,0,0,11,1,27,9,7,2,13
3,16,2,0,1,9,0,20,10,3,0,5
