CdStationMesureEauxSurface,Température,pH,O2_dissous,Conductivité,MES,Turbidité,Carbone_org,Nitrates,Phosphore_total,Azote_Kjeldahl,Orthophosphates,Ammonium,Nitrites,DBO5,DCO,cluster
02000010,12.633333333333333,8.220833333333333,11.216666666666667,351.75,7.366666666666667,4.5408333333333335,1.925,5.733333333333333,0.0375,0.5083333333333333,0.06641666666666667,0.065,0.034166666666666665,1.5833333333333333,6.333333333333333,2
02000011,12.933333333333332,8.1,10.416666666666666,343.8333333333333,13.566666666666668,3.7000000000000006,1.9166666666666667,5.654545454545455,0.02666666666666667,0.5,0.06516666666666666,0.06833333333333334,0.043333333333333335,1.0999999999999999,7.0,2
02001000,10.928571428571429,7.742857142857143,9.1,647.0,26.557142857142857,17.742857142857144,2.6999999999999997,15.174999999999999,0.08285714285714287,0.5714285714285714,0.1717142857142857,0.09,0.09857142857142856,1.3,10.428571428571429,3
02001025,10.716666666666667,8.066666666666666,9.183333333333334,734.0,55.166666666666664,13.450000000000001,2.5333333333333337,34.14545454545455,0.09999999999999999,0.7166666666666667,0.2001666666666667,0.15666666666666665,0.18666666666666668,1.3499999999999999,14.833333333333334,3
02001050,12.725,8.195833333333333,10.433333333333334,361.25,50.65833333333333,2.9008333333333334,2.0166666666666666,5.875,0.0425,0.5499999999999999,0.04791666666666666,0.06666666666666667,0.06916666666666667,1.075,6.166666666666667,2
02001700,12.558333333333332,8.174999999999999,10.25,364.6666666666667,43.23333333333333,5.085833333333333,2.0416666666666665,5.958333333333333,0.03916666666666667,0.5583333333333333,0.05383333333333334,0.06666666666666667,0.0625,1.0333333333333334,5.833333333333333,2
02001715,15.615384615384615,8.153846153846153,9.853846153846153,385.46153846153845,6.1692307692307695,3.423076923076923,1.9142857142857144,8.716666666666667,0.024615384615384615,0.5,0.04085714285714286,0.07142857142857142,0.0642857142857143,1.0923076923076924,5.538461538461538,2
02001725,11.73076923076923,7.9653846153846155,9.207692307692309,482.7692307692308,12.476923076923075,5.3307692307692305,1.2307692307692308,10.076923076923077,0.023846153846153847,0.5,0.05053846153846154,0.06307692307692309,0.033846153846153845,0.9692307692307693,6.769230769230769,2
02001750,10.283333333333333,8.170833333333333,10.85,536.3333333333334,8.15,4.633333333333334,1.9333333333333333,11.125,0.03916666666666667,0.5,0.09325,0.05916666666666667,0.024999999999999998,1.2666666666666666,6.583333333333333,2
02002000,11.242857142857144,8.321428571428571,10.585714285714285,529.1428571428571,22.37142857142857,10.914285714285715,2.6,14.291666666666666,0.1142857142857143,0.5285714285714286,0.296,0.08142857142857143,0.1142857142857143,1.4428571428571428,10.0,2
02003100,10.741666666666667,8.079166666666667,10.608333333333333,705.0,13.950000000000001,6.908333333333334,2.733333333333333,26.291666666666668,0.1125,0.5416666666666666,0.28525,0.1675,0.18000000000000002,1.6083333333333334,8.5,2
02003200,10.261538461538462,8.165384615384616,10.846153846153847,611.6153846153846,46.57692307692308,5.056923076923076,2.5615384615384613,16.846153846153847,0.14461538461538462,0.676923076923077,0.3213076923076923,0.11384615384615385,0.13384615384615384,1.6923076923076923,11.692307692307692,2
02003350,10.057142857142855,8.1,11.0,444.14285714285717,7.914285714285714,6.357142857142857,2.7142857142857144,11.483333333333334,0.09428571428571429,0.5142857142857143,0.2267142857142857,0.12285714285714287,0.09142857142857143,1.6428571428571428,8.285714285714286,2
02003400,10.0,8.166666666666666,10.825000000000001,434.6666666666667,14.866666666666667,8.266666666666667,2.966666666666667,11.945454545454545,0.10833333333333334,0.6,0.21658333333333335,0.09250000000000001,0.11166666666666668,1.5999999999999999,10.083333333333334,2
02003800,10.169230769230769,8.038461538461538,10.546153846153846,440.0769230769231,23.23846153846154,14.123076923076923,3.8000000000000003,12.430769230769231,0.15692307692307692,0.7384615384615384,0.3525384615384616,0.14461538461538462,0.13076923076923078,1.8461538461538463,12.076923076923077,3
02004000,11.616666666666667,8.179166666666667,9.799999999999999,554.8333333333334,12.174999999999999,12.683333333333332,3.0833333333333335,15.558333333333332,0.145,0.625,0.34641666666666665,0.13416666666666668,0.1425,1.55,9.833333333333334,2
02004300,7.558333333333334,7.7,11.066666666666668,47.916666666666664,2.183333333333333,0.3433333333333333,1.2916666666666667,1.6166666666666665,0.010833333333333334,0.5,0.024916666666666667,0.05000000000000001,0.01,0.9416666666666668,5.5,0
02005700,10.275,7.5,11.166666666666666,153.75,10.708333333333334,2.271666666666667,1.925,4.666666666666667,0.030833333333333334,0.5916666666666667,0.06974999999999999,0.07083333333333335,0.025833333333333333,1.5666666666666667,10.333333333333334,0
02007000,12.318181818181818,8.113636363636363,10.200000000000001,392.0,21.87272727272727,7.5636363636363635,2.5272727272727273,9.418181818181818,0.08818181818181818,0.7181818181818183,0.18736363636363637,0.09181818181818181,0.08,1.6454545454545453,12.636363636363637,2
02009000,9.666666666666666,7.654166666666666,11.708333333333334,99.5,7.741666666666667,1.1033333333333333,2.15,2.6750000000000003,0.043333333333333335,0.5666666666666667,0.08433333333333333,0.06083333333333333,0.018333333333333333,1.1583333333333334,9.166666666666666,0
02010000,12.116666666666667,7.8374999999999995,11.516666666666666,279.6666666666667,11.508333333333333,1.6224999999999998,2.2416666666666667,4.0,0.07666666666666667,0.6833333333333332,0.18558333333333332,0.20083333333333334,0.045000000000000005,1.9166666666666667,11.416666666666666,2
02011000,11.591666666666667,8.05,11.275,319.6666666666667,10.0,2.339166666666667,2.441666666666667,4.541666666666667,0.08083333333333333,0.5750000000000001,0.1748333333333333,0.11166666666666668,0.049166666666666664,1.5,9.916666666666666,2
02013000,11.808333333333332,8.245833333333334,11.183333333333332,372.6666666666667,17.175,6.908333333333334,2.6083333333333334,8.049999999999999,0.07916666666666666,0.5666666666666667,0.1495,0.065,0.065,1.6666666666666667,10.5,2
