cluster,11,12,13,14,21,22,23,24,31,32,51
0,28.1,0.0,0.0,3.5,1.8,0.0,26.3,10.5,28.1,1.8,0.0
1,0.0,12.5,12.5,0.0,12.5,0.0,25.0,12.5,25.0,0.0,0.0
2,24.7,3.1,0.0,0.0,11.3,1.0,27.8,9.3,7.2,2.1,13.4
3,24.2,3.0,0.0,1.5,13.6,0.0,30.3,15.2,4.5,0.0,7.6
